age,marital,education,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
44,married,basic.4y,yes,no,cellular,210,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0
53,married,unknown,no,no,cellular,138,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,0
28,single,university.degree,yes,no,cellular,339,3,6,2,success,-1.7,94.055,-39.8,0.729,4991.6,1
39,married,high.school,no,no,cellular,185,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0
55,married,basic.4y,yes,no,cellular,137,1,3,1,success,-2.9,92.201,-31.4,0.869,5076.2,1
30,divorced,basic.4y,yes,no,cellular,68,8,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0
37,married,basic.4y,yes,no,cellular,204,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0
39,divorced,basic.9y,yes,no,cellular,191,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,0
36,married,university.degree,no,no,cellular,174,1,3,1,success,-2.9,92.963,-40.8,1.266,5076.2,1
27,single,basic.4y,yes,no,cellular,191,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,0
34,single,university.degree,no,no,telephone,62,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,0
41,married,university.degree,yes,no,cellular,789,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0
55,married,university.degree,no,no,cellular,372,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1
33,divorced,high.school,yes,no,cellular,75,5,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,0
26,married,high.school,no,yes,telephone,1021,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0
52,married,high.school,yes,no,cellular,117,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0
35,married,high.school,no,no,cellular,1034,2,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1
27,single,university.degree,no,no,telephone,540,1,999,0,nonexistent,-0.1,93.798,-40.4,4.86,5195.8,1
28,married,basic.9y,no,no,telephone,140,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,0
26,single,basic.9y,yes,yes,cellular,104,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0
41,married,basic.9y,yes,no,telephone,246,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0
35,single,unknown,no,yes,telephone,1114,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,0
40,married,university.degree,yes,no,telephone,340,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0
