Company_ID,Year,ESG_Score,Environmental_Score,Social_Score,Governance_Score
1,2012,59.9,65.3,54.2,61.2
1,2013,56.8,55.9,47.1,62.9
1,2014,56.7,57.7,49.5,60.7
1,2015,57.3,67.0,49.6,58.1
1,2016,60.2,73.7,49.9,61.0
1,2017,60.5,70.5,53.4,60.8
1,2018,62.2,66.4,58.8,62.6
1,2019,56.4,59.2,57.5,54.7
1,2020,52.1,59.7,51.9,49.1
1,2021,53.7,58.4,48.3,55.0
1,2022,54.9,68.3,49.1,53.0
1,2023,59.8,76.0,45.3,62.1
1,2024,56.0,70.2,39.7,60.1
1,2025,60.4,63.9,40.3,71.1
2,2012,72.0,53.8,89.4,83.7
2,2013,71.0,56.1,81.9,84.6
2,2014,69.1,56.4,77.0,82.6
2,2015,69.5,57.5,76.4,82.8
2,2016,66.4,48.4,81.7,80.6
2,2017,74.4,53.8,90.6,92.1
2,2018,73.2,57.5,76.8,97.3
2,2019,75.2,56.8,83.6,98.4
2,2020,69.1,53.0,81.3,83.4
2,2021,70.5,57.8,75.2,87.9
2,2022,70.3,61.4,66.9,90.4
2,2023,74.9,59.4,77.2,100.0
2,2024,73.8,52.5,85.9,97.6
2,2025,73.0,53.3,84.0,95.1
3,2012,62.7,63.1,75.2,46.8
3,2013,66.6,65.8,82.4,49.1
3,2014,61.1,60.6,79.9,39.3
3,2015,64.7,64.6,87.4,37.6
3,2016,64.6,62.7,80.7,48.6
3,2017,68.6,72.3,77.7,51.2
3,2018,58.5,63.3,75.3,29.6
4,2012,45.0,53.6,23.4,49.4
4,2013,41.8,52.9,18.8,42.4
4,2014,38.8,44.5,21.6,44.5
4,2015,44.0,48.9,21.5,56.8
4,2016,44.2,52.0,16.7,56.0
4,2017,48.0,59.0,19.6,54.6
4,2018,48.4,54.1,24.6,61.0
4,2019,43.5,55.9,15.1,47.0
4,2020,48.6,61.2,14.5,57.5
4,2021,46.2,64.8,6.5,48.5
4,2022,45.7,59.7,13.4,49.8
4,2023,50.6,69.5,14.9,48.3
4,2024,48.7,68.2,6.4,52.1
4,2025,45.4,62.6,3.2,53.3
5,2012,51.1,39.8,62.4,44.3
5,2013,38.9,30.5,41.9,43.7
5,2014,41.1,32.3,47.3,40.5
5,2015,50.0,37.2,56.4,53.7
5,2016,44.5,30.3,53.9,44.6
5,2017,35.8,20.8,45.1,37.2
5,2018,40.8,25.0,50.9,41.4
5,2019,46.2,31.1,53.1,52.1
5,2020,66.5,64.7,68.7,64.6
5,2021,56.4,45.8,58.3,65.6
5,2022,63.2,54.4,63.2,73.6
5,2023,64.0,50.9,62.9,81.5
5,2024,64.4,41.2,76.9,69.7
5,2025,56.5,36.2,65.3,64.9
6,2012,48.5,36.1,80.6,32.4
6,2013,47.1,38.7,74.8,29.0
6,2014,44.7,26.8,73.0,43.1
6,2015,51.9,38.0,83.6,38.9
6,2016,48.8,33.8,69.2,51.5
6,2017,47.2,30.8,81.7,35.2
6,2018,46.2,30.1,76.1,39.1
6,2019,49.0,35.6,69.6,48.2
6,2020,42.1,24.4,63.2,48.7
6,2021,42.9,26.7,65.4,45.0
6,2022,44.0,31.2,68.6,37.7
6,2023,50.4,40.7,80.2,32.2
6,2024,46.3,38.8,79.7,19.6
6,2025,43.1,37.3,71.8,19.1
7,2012,49.2,23.3,72.9,67.3
7,2013,51.7,26.3,66.2,80.1
7,2014,55.8,32.2,69.8,81.4
7,2015,53.1,28.8,67.9,78.9
7,2016,54.7,33.9,66.2,78.4
8,2012,43.2,34.6,34.2,69.6
8,2013,45.4,31.8,40.7,70.2
9,2012,64.8,53.5,97.5,54.5
9,2013,60.9,53.0,87.9,49.6
9,2014,66.0,56.2,92.8,58.8
9,2015,68.2,57.7,99.7,57.5
9,2016,69.5,60.1,99.2,58.7
9,2017,71.0,61.6,100.0,60.8
9,2018,68.8,61.8,94.9,56.5
9,2019,66.9,63.5,91.3,49.1
9,2020,68.7,69.5,82.6,53.2
9,2021,61.8,56.8,74.0,59.4
9,2022,62.5,61.8,70.4,56.0
9,2023,68.4,59.6,83.4,70.9
9,2024,65.4,58.6,83.2,61.4
9,2025,69.9,64.9,85.2,64.6
10,2012,63.5,57.2,57.5,81.7
10,2013,61.6,56.1,57.9,74.8
10,2014,65.2,51.5,62.5,86.4
10,2015,64.2,49.3,58.0,93.1
10,2016,61.3,44.9,58.1,86.7
10,2017,56.5,41.3,53.7,79.7
10,2018,56.4,41.9,50.1,85.1
10,2019,63.2,50.2,60.1,84.4
10,2020,63.2,47.6,61.5,84.8
10,2021,66.4,52.9,70.3,75.5
10,2022,63.0,46.0,66.8,76.4
10,2023,60.0,43.1,58.2,83.5
10,2024,56.0,44.0,48.2,84.5
10,2025,56.3,46.0,50.2,79.8
11,2012,49.4,53.5,64.4,19.6
11,2013,50.7,52.0,67.5,22.1
11,2014,55.4,58.8,77.6,15.0
11,2015,61.0,68.6,72.7,31.7
11,2016,57.1,56.8,74.0,30.5
11,2017,68.9,72.2,83.5,41.1
11,2018,72.3,74.4,87.7,44.9
11,2019,67.1,78.3,75.0,38.9
11,2020,65.5,70.5,84.5,28.0
11,2021,63.1,60.8,83.0,34.5
11,2022,62.8,69.8,72.1,38.2
11,2023,69.5,78.4,79.2,41.4
11,2024,58.4,64.6,69.6,32.0
11,2025,60.7,69.0,67.2,38.6
12,2012,62.3,75.2,78.9,47.1
12,2013,51.4,76.5,60.2,36.0
12,2014,53.8,78.0,61.7,39.3
12,2015,53.8,75.6,66.4,37.5
