Month,Rf_Pct,Mkt_Excess_Pct,SMB_Pct,Ind_Consumer_Goods_Pct,Ind_Energy_Pct,Ind_Finance_Pct,Ind_Healthcare_Pct,Ind_Manufacturing_Pct,Ind_Retail_Pct,Ind_Technology_Pct,Ind_Transportation_Pct,Ind_Utilities_Pct
2012-01,0.1,1.9815,1.276,2.9492,-2.1382,0.857,-1.0867,-3.805,-0.0954,-2.5836,-1.7407,0.1766
2012-02,0.1,4.3787,-0.0699,-0.4466,0.1813,-1.0109,1.3951,3.4747,0.4553,-1.9469,-4.0797,2.5724
2012-03,0.1,2.3683,-1.4919,-1.5956,4.0424,0.944,4.677,4.2608,-2.5287,3.6275,-2.9214,0.9824
2012-04,0.1,5.5961,-1.7525,1.106,-0.2197,3.5267,-0.4914,-0.4485,-0.0881,1.8903,-0.2577,-1.1395
2012-05,0.1,3.3571,-0.6948,-1.0234,0.1204,2.2739,0.2042,2.246,-0.6538,0.7659,7.7738,2.0679
2012-06,0.1,9.5052,-1.8461,-1.3242,-2.9955,-2.0305,-1.0714,-2.2784,-1.7783,2.8864,3.2,-0.8145
2012-07,0.1,-2.6758,2.393,-3.3009,-1.1761,-6.0421,1.8254,1.0228,-1.132,1.7122,1.8095,-0.1156
2012-08,0.1,5.0762,1.5406,-2.3541,-1.1231,1.8082,1.5402,0.567,-2.3438,0.8239,1.3673,-0.6247
2012-09,0.1,-2.6516,3.9643,2.0078,-1.2118,-0.852,-2.5116,-0.1719,0.0901,0.9871,1.8103,-0.4162
2012-10,0.1,1.7751,0.3265,0.6721,1.4656,1.4041,3.9089,0.9433,0.659,-2.2183,-0.3625,-0.5204
2012-11,0.1,-2.0541,-0.9162,2.318,0.319,0.9704,2.0852,1.5826,0.7401,3.4218,-1.828,0.6397
2012-12,0.1,-3.004,0.3521,-0.0048,0.5805,2.002,-2.6721,0.6243,-0.9178,2.9636,-1.9991,2.1563
2013-01,0.1,-4.3331,-1.6252,-1.2758,3.3492,-1.0085,3.1174,-3.8864,-3.2563,-1.7823,-1.6172,0.0267
2013-02,0.1,3.6874,-0.6266,-5.5507,0.5185,0.3651,-1.1866,1.6637,-0.4311,1.2464,1.4746,3.4749
2013-03,0.1,-1.8449,1.4072,2.676,-0.2667,-0.5674,2.2442,-6.3546,-0.7804,-1.701,1.1381,-0.5626
2013-04,0.1,5.1055,-0.8188,-1.5804,-3.2385,0.0033,-0.2461,-1.3945,-1.1699,-0.7015,-1.0282,1.9009
2013-05,0.1,-2.23,-1.3728,-0.203,-0.0252,-0.513,-0.0125,0.1893,-4.9974,-2.0444,-1.547,-3.8946
2013-06,0.1,3.2951,0.8125,-2.5,-1.5901,3.6585,0.9518,2.9721,-2.4131,-2.5542,1.2029,-1.8536
2013-07,0.1,1.0897,-4.839,0.6573,1.2961,-2.0017,0.9293,1.5103,-2.4844,-0.9686,-0.7856,-2.3667
2013-08,0.1,2.8873,1.4276,-0.2825,0.3817,-0.1222,2.373,-3.0266,-0.9279,0.7754,-0.8533,-4.016
