Company_ID,Company_Name,Industry,Region,Year,Publication_Date,Revenue,Profit_Margin,Market_Cap,Growth_Rate,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emissions,Water_Usage,Energy_Consumption,Analyst_Outlook
1,Firm_1,Finance,Asia,2012,2013-05-02,2308.8,20.11,3842.5,,50.9,53.4,45.4,53.2,4204.9,9718.2,154794.3,5
1,Firm_1,Finance,Asia,2013,2014-05-02,2548.0,23.06,4998.1,10.36,49.5,51.2,38.3,55.5,18439.8,12106.7,155303.4,5
1,Firm_1,Finance,Asia,2014,2015-05-02,2557.1,22.32,7750.5,0.36,48.0,51.7,40.2,51.3,24284.5,8499.5,163112.5,4
1,Firm_1,Finance,Asia,2015,2016-05-02,2731.1,22.93,9102.9,6.81,50.3,58.3,39.9,53.3,,,,5
1,Firm_1,Finance,Asia,2016,2017-05-02,2712.0,21.48,8609.9,-0.7,52.6,66.6,45.2,51.5,9041.8,5382.5,95567.1,1
1,Firm_1,Finance,Asia,2017,2018-05-02,2421.8,24.26,8078.3,-10.7,53.1,61.4,50.0,51.6,9400.9,11059.4,95714.0,5
1,Firm_1,Finance,Asia,2018,2019-05-02,2076.2,26.58,7709.0,-14.27,53.6,58.2,51.2,53.2,14697.6,6863.0,89450.2,2
1,Firm_1,Finance,Asia,2019,2020-05-02,1866.3,19.18,10863.7,-10.11,51.5,55.2,52.6,49.4,7123.6,4691.2,165976.2,2
1,Firm_1,Finance,Asia,2020,2021-05-02,1600.5,20.46,5832.1,-14.24,45.5,51.5,45.2,43.3,3809.3,7446.3,102204.8,4
1,Firm_1,Finance,Asia,2021,2022-05-02,1608.6,22.73,7735.7,0.51,48.2,50.7,43.2,50.1,,,,1
1,Firm_1,Finance,Asia,2022,2023-05-02,1684.7,18.29,6801.5,4.73,47.4,60.8,40.8,46.1,3685.5,7619.3,51955.8,5
1,Firm_1,Finance,Asia,2023,2024-05-02,1945.2,18.53,6815.7,15.46,53.0,70.2,39.3,54.3,5509.7,4464.5,58734.2,4
1,Firm_1,Finance,Asia,2024,2025-05-02,2486.7,11.69,9831.8,27.84,55.4,67.8,40.6,59.3,,,,3
1,Firm_1,Finance,Asia,2025,2026-05-02,2576.6,16.85,11405.9,3.61,62.9,68.4,42.3,73.1,6367.1,7118.1,66037.6,3
2,Firm_2,Manufacturing,Oceania,2012,2013-05-15,1764.9,6.05,2285.3,,72.0,53.8,89.4,83.7,390117.2,103262.1,3204841.5,3
2,Firm_2,Manufacturing,Oceania,2013,2014-05-15,1921.4,7.43,2523.3,8.87,71.0,56.1,81.9,84.6,308810.6,268031.3,3571513.2,2
2,Firm_2,Manufacturing,Oceania,2014,2015-05-15,2001.6,7.44,2184.6,4.17,69.1,56.4,77.0,82.6,547340.5,253415.8,1107498.2,5
2,Firm_2,Manufacturing,Oceania,2015,2016-05-15,2169.5,6.31,2369.7,8.39,69.5,57.5,76.4,82.8,559032.5,398416.0,2240652.4,4
2,Firm_2,Manufacturing,Oceania,2016,2017-05-15,2315.6,2.75,3673.0,6.73,66.4,48.4,81.7,80.6,647346.6,426383.0,7275136.1,5
2,Firm_2,Manufacturing,Oceania,2017,2018-05-15,2519.7,3.55,4522.8,8.81,74.4,53.8,90.6,92.1,639335.4,360331.2,8407878.9,1
2,Firm_2,Manufacturing,Oceania,2018,2019-05-15,2436.0,3.55,6044.8,-3.32,73.2,57.5,76.8,97.3,464500.7,486541.7,3421841.8,1
2,Firm_2,Manufacturing,Oceania,2019,2020-05-15,2467.6,4.04,7621.9,1.3,75.2,56.8,83.6,98.4,1002100.0,457274.4,3098886.4,5
2,Firm_2,Manufacturing,Oceania,2020,2021-05-15,2590.5,7.58,6112.8,4.98,69.1,53.0,81.3,83.4,540092.7,579213.2,2925333.7,2
2,Firm_2,Manufacturing,Oceania,2021,2022-05-15,2656.4,8.06,8406.9,2.55,70.5,57.8,75.2,87.9,977755.5,630361.5,2365898.7,3
2,Firm_2,Manufacturing,Oceania,2022,2023-05-15,2672.8,3.74,8475.9,0.62,70.3,61.4,66.9,90.4,381015.4,237852.3,2079725.6,2
2,Firm_2,Manufacturing,Oceania,2023,2024-05-15,3012.5,12.44,7928.7,12.71,74.9,59.4,77.2,100.0,530564.1,375676.8,5300169.5,2
2,Firm_2,Manufacturing,Oceania,2024,2025-05-15,2947.8,8.11,7835.4,-2.15,73.8,52.5,85.9,97.6,935538.3,268704.8,11272908.9,5
2,Firm_2,Manufacturing,Oceania,2025,2026-05-15,2880.3,11.04,11494.4,-2.29,73.0,53.3,84.0,95.1,926362.0,482626.0,4415344.9,5
3,Firm_3,Manufacturing,North America,2012,2013-05-09,543.7,6.66,710.5,,54.5,55.9,66.8,37.3,138345.3,63943.1,649250.4,2
3,Firm_3,Manufacturing,North America,2013,2014-05-09,513.3,7.8,770.1,-5.59,57.3,56.2,74.9,38.0,,,,3
3,Firm_3,Manufacturing,North America,2014,2015-05-09,585.9,10.75,1435.1,14.14,54.0,52.5,74.8,31.6,92928.1,66612.4,749952.3,3
3,Firm_3,Manufacturing,North America,2015,2016-05-09,640.6,7.54,911.6,9.34,58.4,60.0,77.5,32.7,69349.2,67048.5,772536.4,4
3,Firm_3,Manufacturing,North America,2016,2017-05-09,627.9,1.04,1192.7,-1.98,56.5,56.2,71.9,38.7,92131.8,74236.5,1679774.1,5
3,Firm_3,Manufacturing,North America,2017,2018-05-09,647.6,11.35,1641.1,3.15,60.8,64.9,70.1,42.1,64218.4,66868.2,615275.6,3
3,Firm_3,Manufacturing,North America,2018,2019-05-09,673.5,7.86,1912.9,3.99,57.3,61.9,76.4,26.1,,,,4
4,Firm_4,Energy,Europe,2012,2013-05-27,2125.8,11.47,1499.7,,45.0,53.6,23.4,49.4,,,,5
4,Firm_4,Energy,Europe,2013,2014-05-27,2048.1,13.72,2589.8,-3.66,41.8,52.9,18.8,42.4,2348903.9,548414.4,6840690.1,2
4,Firm_4,Energy,Europe,2014,2015-05-27,1925.0,9.29,2730.3,-6.01,38.8,44.5,21.6,44.5,2964382.9,920545.7,9241300.4,1
4,Firm_4,Energy,Europe,2015,2016-05-27,2010.4,10.46,2547.9,4.44,44.0,48.9,21.5,56.8,2464028.8,1001198.3,5169124.9,3
4,Firm_4,Energy,Europe,2016,2017-05-27,2106.6,8.25,2919.0,4.78,44.2,52.0,16.7,56.0,1313602.9,667221.9,16519392.6,2
4,Firm_4,Energy,Europe,2017,2018-05-27,2349.0,8.08,2952.0,11.51,48.0,59.0,19.6,54.6,1332825.6,305107.2,17001244.4,3
4,Firm_4,Energy,Europe,2018,2019-05-27,2476.7,8.76,2677.3,5.43,48.4,54.1,24.6,61.0,6056502.3,626067.7,6415150.9,2
4,Firm_4,Energy,Europe,2019,2020-05-27,2433.3,9.16,3045.4,-1.75,43.5,55.9,15.1,47.0,2162188.9,514917.9,10926683.7,4
4,Firm_4,Energy,Europe,2020,2021-05-27,2366.2,12.28,2378.8,-2.76,48.6,61.2,14.5,57.5,2158714.3,508087.6,5758920.4,4
4,Firm_4,Energy,Europe,2021,2022-05-27,2263.8,14.15,3122.2,-4.33,46.2,64.8,6.5,48.5,1573506.7,398355.3,6066269.3,4
4,Firm_4,Energy,Europe,2022,2023-05-27,2155.1,16.4,3714.8,-4.8,45.7,59.7,13.4,49.8,2019750.6,862595.0,9487450.7,4
4,Firm_4,Energy,Europe,2023,2024-05-27,2180.5,11.15,3944.3,1.18,50.6,69.5,14.9,48.3,1213986.1,476091.5,4801305.1,4
4,Firm_4,Energy,Europe,2024,2025-05-27,2510.5,11.58,5372.6,15.13,48.7,68.2,6.4,52.1,2165560.8,479766.7,9677505.6,4
4,Firm_4,Energy,Europe,2025,2026-05-27,2657.9,5.61,6025.2,5.87,45.4,62.6,3.2,53.3,1909568.4,560966.8,13372823.6,1
5,Firm_5,Retail,Middle East,2012,2013-05-08,2107.1,-4.56,2801.3,,52.3,39.9,64.0,46.0,164474.6,67073.6,1302288.3,4
5,Firm_5,Retail,Middle East,2013,2014-05-08,2331.2,-1.9,4155.5,10.64,45.4,39.8,47.4,48.4,158560.5,101846.8,1998064.8,2
5,Firm_5,Retail,Middle East,2014,2015-05-08,2313.6,5.02,3469.5,-0.76,48.3,36.0,56.1,48.9,,,,3
5,Firm_5,Retail,Middle East,2015,2016-05-08,2393.9,0.42,3951.9,3.47,55.4,44.3,60.8,58.8,99587.9,34288.1,1428287.3,1
5,Firm_5,Retail,Middle East,2016,2017-05-08,2582.9,6.99,3294.2,7.9,50.2,33.2,60.6,52.0,476508.7,79943.1,3057425.9,5
5,Firm_5,Retail,Middle East,2017,2018-05-08,2675.1,8.99,4131.8,3.57,42.3,29.2,48.8,46.4,489049.1,359991.6,3459131.7,1
5,Firm_5,Retail,Middle East,2018,2019-05-08,2863.9,8.19,4384.5,7.06,48.0,34.7,57.0,47.7,,,,2
5,Firm_5,Retail,Middle East,2019,2020-05-08,3331.2,10.2,3598.0,16.32,53.3,38.1,59.6,60.1,274782.3,219732.8,4457098.1,2
5,Firm_5,Retail,Middle East,2020,2021-05-08,3865.9,13.46,1999.1,16.05,63.4,59.2,64.9,65.6,168035.3,87818.3,1026874.0,2
5,Firm_5,Retail,Middle East,2021,2022-05-08,4031.1,8.97,2208.6,4.27,56.3,46.7,57.6,65.6,144487.6,77339.0,3322075.7,1
5,Firm_5,Retail,Middle East,2022,2023-05-08,4289.5,8.83,1975.4,6.41,59.7,49.5,60.9,69.9,294838.5,216838.4,1500488.6,1
5,Firm_5,Retail,Middle East,2023,2024-05-08,5003.9,7.67,2063.3,16.65,58.7,48.2,56.3,75.7,287691.6,294649.2,3621291.6,4
5,Firm_5,Retail,Middle East,2024,2025-05-08,6257.3,3.3,1384.0,25.05,53.7,30.8,62.6,65.1,627277.7,498915.2,7496047.3,4
5,Firm_5,Retail,Middle East,2025,2026-05-08,7975.1,4.7,2187.1,27.45,55.2,35.7,63.9,62.8,,,,2
6,Firm_6,Manufacturing,Asia,2012,2013-05-30,907.0,6.72,997.7,,39.9,25.4,75.3,23.5,,,,3
6,Firm_6,Manufacturing,Asia,2013,2014-05-30,1030.7,10.73,1290.0,13.63,41.3,32.5,70.3,22.5,447609.0,425524.7,3968628.9,1
6,Firm_6,Manufacturing,Asia,2014,2015-05-30,1172.7,6.37,1441.4,13.78,38.3,22.7,65.9,33.2,847084.5,723944.5,6455236.5,4
6,Firm_6,Manufacturing,Asia,2015,2016-05-30,1302.5,7.18,762.3,11.07,45.4,31.1,74.0,36.9,709853.4,556405.9,5640337.7,1
