Company_ID,Company_Name,Industry,Region
1,Firm_1,Finance,Asia
2,Firm_2,Manufacturing,Oceania
4,Firm_4,Energy,Europe
5,Firm_5,Retail,Middle East
6,Firm_6,Manufacturing,Asia
9,Firm_9,Energy,Europe
10,Firm_10,Retail,North America
11,Firm_11,Consumer Goods,Africa
12,Firm_12,Finance,North America
13,Firm_13,Finance,Africa
14,Firm_14,Technology,North America
15,Firm_15,Utilities,Africa
18,Firm_18,Manufacturing,North America
19,Firm_19,Finance,North America
20,Firm_20,Energy,Asia
21,Firm_21,Finance,Middle East
23,Firm_23,Transportation,North America
24,Firm_24,Consumer Goods,North America
28,Firm_28,Consumer Goods,North America
30,Firm_30,Energy,Africa
31,Firm_31,Energy,Latin America
32,Firm_32,Finance,Asia
34,Firm_34,Energy,Latin America
35,Firm_35,Retail,Oceania
37,Firm_37,Manufacturing,Europe
39,Firm_39,Utilities,North America
40,Firm_40,Utilities,Asia
42,Firm_42,Manufacturing,Europe
44,Firm_44,Technology,Europe
45,Firm_45,Transportation,Middle East
48,Firm_48,Healthcare,Asia
49,Firm_49,Healthcare,Asia
50,Firm_50,Utilities,Latin America
52,Firm_52,Technology,North America
54,Firm_54,Finance,Oceania
55,Firm_55,Transportation,Asia
56,Firm_56,Retail,Latin America
57,Firm_57,Finance,North America
58,Firm_58,Retail,Europe
64,Firm_64,Finance,Oceania
65,Firm_65,Retail,North America
66,Firm_66,Manufacturing,Asia
67,Firm_67,Finance,North America
68,Firm_68,Healthcare,Oceania
69,Firm_69,Transportation,North America
70,Firm_70,Manufacturing,Oceania
71,Firm_71,Healthcare,North America
73,Firm_73,Technology,Africa
74,Firm_74,Transportation,Oceania
75,Firm_75,Technology,Europe
76,Firm_76,Transportation,Middle East
79,Firm_79,Technology,Oceania
80,Firm_80,Retail,Middle East
81,Firm_81,Technology,Asia
82,Firm_82,Healthcare,Africa
84,Firm_84,Retail,Europe
85,Firm_85,Finance,Middle East
86,Firm_86,Finance,Africa
87,Firm_87,Manufacturing,Middle East
89,Firm_89,Transportation,Asia
90,Firm_90,Utilities,North America
93,Firm_93,Retail,North America
94,Firm_94,Healthcare,Middle East
96,Firm_96,Healthcare,Europe
97,Firm_97,Consumer Goods,Asia
98,Firm_98,Utilities,Europe
99,Firm_99,Manufacturing,Asia
101,Firm_101,Utilities,Europe
102,Firm_102,Retail,Latin America
103,Firm_103,Finance,Europe
104,Firm_104,Healthcare,Middle East
105,Firm_105,Retail,Latin America
106,Firm_106,Technology,Latin America
108,Firm_108,Transportation,Europe
109,Firm_109,Finance,Oceania
110,Firm_110,Manufacturing,Latin America
111,Firm_111,Manufacturing,Europe
112,Firm_112,Manufacturing,Europe
113,Firm_113,Utilities,Europe
114,Firm_114,Utilities,Asia
115,Firm_115,Energy,Europe
116,Firm_116,Retail,Europe
117,Firm_117,Energy,Latin America
118,Firm_118,Consumer Goods,Oceania
119,Firm_119,Consumer Goods,Europe
120,Firm_120,Finance,Europe
121,Firm_121,Transportation,Oceania
122,Firm_122,Technology,Europe
123,Firm_123,Technology,Middle East
124,Firm_124,Utilities,North America
125,Firm_125,Consumer Goods,Oceania
127,Firm_127,Transportation,Europe
129,Firm_129,Healthcare,North America
130,Firm_130,Retail,Asia
131,Firm_131,Energy,Asia
134,Firm_134,Finance,North America
137,Firm_137,Technology,Africa
138,Firm_138,Utilities,North America
139,Firm_139,Healthcare,Europe
141,Firm_141,Healthcare,Middle East
142,Firm_142,Technology,Middle East
143,Firm_143,Energy,Europe
147,Firm_147,Consumer Goods,Latin America
149,Firm_149,Healthcare,Oceania
150,Firm_150,Energy,Europe
151,Firm_151,Consumer Goods,North America
152,Firm_152,Technology,Asia
154,Firm_154,Healthcare,Asia
158,Firm_158,Healthcare,Europe
160,Firm_160,Consumer Goods,Asia
161,Firm_161,Finance,Europe
162,Firm_162,Manufacturing,Oceania
163,Firm_163,Transportation,Africa
164,Firm_164,Transportation,North America
165,Firm_165,Consumer Goods,Middle East
167,Firm_167,Manufacturing,North America
168,Firm_168,Healthcare,Europe
169,Firm_169,Healthcare,Europe
170,Firm_170,Technology,Oceania
171,Firm_171,Manufacturing,Latin America
172,Firm_172,Finance,Asia
173,Firm_173,Energy,Middle East
174,Firm_174,Consumer Goods,North America
175,Firm_175,Utilities,Oceania
176,Firm_176,Transportation,Asia
177,Firm_177,Manufacturing,Asia
178,Firm_178,Manufacturing,North America
179,Firm_179,Healthcare,Middle East
181,Firm_181,Manufacturing,Asia
182,Firm_182,Technology,Asia
185,Firm_185,Consumer Goods,Asia
186,Firm_186,Energy,North America
187,Firm_187,Healthcare,Africa
188,Firm_188,Consumer Goods,North America
189,Firm_189,Consumer Goods,Europe
190,Firm_190,Retail,Asia
191,Firm_191,Utilities,Middle East
192,Firm_192,Healthcare,Latin America
193,Firm_193,Consumer Goods,Asia
194,Firm_194,Healthcare,Latin America
196,Firm_196,Transportation,Europe
198,Firm_198,Technology,Africa
199,Firm_199,Healthcare,North America
200,Firm_200,Technology,North America
201,Firm_201,Finance,Africa
203,Firm_203,Retail,Oceania
206,Firm_206,Retail,Asia
207,Firm_207,Healthcare,Middle East
208,Firm_208,Transportation,Latin America
210,Firm_210,Energy,Latin America
211,Firm_211,Retail,Asia
213,Firm_213,Energy,Asia
215,Firm_215,Manufacturing,Middle East
216,Firm_216,Finance,Oceania
217,Firm_217,Technology,Europe
218,Firm_218,Consumer Goods,North America
219,Firm_219,Healthcare,North America
221,Firm_221,Transportation,North America
222,Firm_222,Transportation,North America
224,Firm_224,Healthcare,North America
225,Firm_225,Healthcare,Middle East
228,Firm_228,Transportation,Latin America
229,Firm_229,Consumer Goods,Europe
230,Firm_230,Finance,North America
232,Firm_232,Utilities,Latin America
233,Firm_233,Healthcare,Latin America
234,Firm_234,Retail,Oceania
235,Firm_235,Consumer Goods,Africa
237,Firm_237,Energy,North America
238,Firm_238,Consumer Goods,Africa
239,Firm_239,Transportation,North America
240,Firm_240,Utilities,Oceania
242,Firm_242,Consumer Goods,Africa
243,Firm_243,Energy,Africa
244,Firm_244,Utilities,North America
246,Firm_246,Healthcare,North America
247,Firm_247,Transportation,Latin America
249,Firm_249,Manufacturing,Europe
250,Firm_250,Finance,Europe
251,Firm_251,Healthcare,North America
252,Firm_252,Finance,Asia
254,Firm_254,Manufacturing,Latin America
255,Firm_255,Healthcare,North America
256,Firm_256,Transportation,Africa
257,Firm_257,Retail,Asia
259,Firm_259,Retail,Asia
260,Firm_260,Transportation,Middle East
