id,canton,property_type,living_area_m2,rooms,year_built,distance_center_km,energy_label,purchase_price,household_income,age,employment,years_client,loan_amount,rate_type,fixed_years,interest_rate,amortisation,origination_year,ltv,affordability,actual_burden
A00001,BE,house,142.0,5.0,2011,16.9,B,748000.0,141000.0,57,employed,16,529000.0,fixed,10,1.96,indirect,2026,0.707,0.255,0.0735
A00002,LU,apartment,102.0,3.5,1994,8.6,B,783000.0,127200.0,50,employed,2,489000.0,fixed,5,1.48,direct,2026,0.625,0.254,0.0569
A00003,AG,house,158.0,5.0,1906,12.9,F,873000.0,101400.0,43,employed,12,499000.0,saron,0,1.22,indirect,2026,0.572,0.332,0.06
A00004,AG,apartment,135.0,4.5,1970,3.2,B,1032000.0,138000.0,31,employed,22,670000.0,fixed,5,1.51,direct,2026,0.649,0.318,0.0733
A00005,ZH,apartment,84.0,3.5,2001,5.4,C,941000.0,126700.0,50,employed,6,638000.0,saron,0,1.01,indirect,2026,0.678,0.332,0.0509
A00006,AG,house,134.0,5.0,1906,4.6,F,985000.0,129900.0,47,employed,5,763000.0,fixed,10,1.55,indirect,2026,0.775,0.424,0.091
A00007,ZH,apartment,89.0,3.5,2006,14.9,B,740000.0,131800.0,34,employed,6,494000.0,fixed,10,1.91,direct,2026,0.668,0.244,0.0716
A00008,ZH,apartment,85.0,3.0,1905,18.8,E,652000.0,120000.0,40,employed,20,519000.0,fixed,5,1.48,direct,2026,0.796,0.317,0.064
A00009,ZH,apartment,73.0,2.0,2005,5.1,A,785000.0,281400.0,25,employed,30,485000.0,saron,0,0.89,direct,2026,0.618,0.114,0.0153
A00010,SG,house,184.0,6.0,2011,2.1,B,1242000.0,349500.0,32,employed,3,873000.0,fixed,10,1.71,direct,2026,0.703,0.169,0.0427
A00011,ZH,house,145.0,5.5,2010,4.7,B,1873000.0,234900.0,32,employed,1,1314000.0,saron,0,0.89,indirect,2026,0.702,0.378,0.0498
A00012,ZH,house,140.0,5.0,2011,3.2,A,1554000.0,274700.0,41,self_employed,2,937000.0,fixed,10,1.66,direct,2026,0.603,0.227,0.0566
A00013,SO,apartment,98.0,3.0,2018,19.9,B,366000.0,172400.0,55,self_employed,1,329000.0,saron,0,1.09,indirect,2026,0.899,0.15,0.0208
A00014,TG,apartment,106.0,4.0,1906,17.3,E,392000.0,60300.0,62,employed,23,285000.0,fixed,5,1.61,direct,2026,0.727,0.327,0.0761
A00015,AG,apartment,120.0,4.5,1928,5.4,E,719000.0,101600.0,51,employed,15,469000.0,saron,0,0.87,direct,2026,0.652,0.302,0.0402
A00016,ZH,house,130.0,5.5,1932,3.8,C,1306000.0,198800.0,57,employed,5,810000.0,saron,0,1.07,direct,2026,0.62,0.269,0.0436
A00017,ZH,house,133.0,4.0,1992,2.3,B,1359000.0,326200.0,33,employed,0,1075000.0,saron,0,0.9,direct,2026,0.791,0.241,0.0297
A00018,ZH,house,163.0,5.0,1958,7.6,D,1619000.0,186300.0,25,employed,11,1031000.0,fixed,5,1.47,indirect,2026,0.637,0.364,0.0814
A00019,BE,apartment,85.0,3.5,1961,0.3,D,554000.0,109400.0,51,employed,2,389000.0,fixed,10,1.73,direct,2026,0.702,0.24,0.0615
A00020,SG,apartment,121.0,4.5,2009,0.9,C,919000.0,236000.0,56,employed,3,691000.0,fixed,10,1.8,direct,2026,0.752,0.207,0.0527
A00021,SO,house,105.0,4.5,2015,4.6,C,645000.0,89900.0,60,employed,5,542000.0,fixed,10,1.6,direct,2026,0.84,0.456,0.0965
A00022,ZH,house,172.0,6.5,2013,12.4,A,1641000.0,245200.0,42,employed,6,1109000.0,saron,0,0.97,direct,2026,0.676,0.297,0.0439
A00023,LU,house,167.0,6.5,1984,0.9,A,1210000.0,219600.0,37,employed,5,841000.0,fixed,5,1.64,indirect,2026,0.695,0.257,0.0628
A00024,LU,house,176.0,7.0,1938,1.0,E,1695000.0,307800.0,28,employed,12,1399000.0,saron,0,0.95,direct,2026,0.825,0.341,0.0432
A00025,ZH,house,260.0,9.0,2005,2.3,B,3310000.0,430000.0,65,employed,12,2431000.0,saron,0,1.25,direct,2026,0.734,0.394,0.0707
A00026,AG,apartment,126.0,5.0,2010,35.6,A,417000.0,87100.0,51,employed,11,237000.0,saron,0,0.93,direct,2026,0.568,0.184,0.0253
A00027,BE,apartment,77.0,2.5,1979,2.5,A,535000.0,133900.0,47,employed,2,423000.0,fixed,10,1.71,indirect,2026,0.791,0.231,0.054
A00028,ZH,house,140.0,6.5,1922,1.2,E,1632000.0,202100.0,29,employed,5,1400000.0,fixed,5,1.53,direct,2026,0.858,0.53,0.106
A00029,ZH,apartment,99.0,4.5,1966,18.7,C,686000.0,204100.0,55,employed,8,459000.0,saron,0,0.99,indirect,2026,0.669,0.147,0.0223
A00030,ZH,apartment,101.0,3.5,1963,2.8,D,1219000.0,107800.0,30,employed,1,905000.0,fixed,5,1.43,direct,2026,0.742,0.59,0.1201
A00031,ZH,apartment,112.0,4.0,1931,31.6,E,614000.0,177900.0,52,employed,5,338000.0,saron,0,1.0,indirect,2026,0.55,0.13,0.019
A00032,ZH,house,127.0,4.5,2008,6.5,B,1178000.0,163600.0,57,employed,5,760000.0,saron,0,1.0,indirect,2026,0.645,0.304,0.0465
A00033,LU,apartment,119.0,4.0,1994,8.0,D,797000.0,145600.0,59,self_employed,0,496000.0,saron,0,1.03,indirect,2026,0.622,0.225,0.0351
A00034,ZH,house,117.0,3.5,1918,6.4,E,1142000.0,194700.0,45,employed,2,797000.0,fixed,5,1.49,indirect,2026,0.698,0.276,0.061
A00035,BE,house,130.0,4.5,1934,5.4,E,740000.0,164300.0,28,employed,4,561000.0,fixed,5,1.48,indirect,2026,0.758,0.243,0.0505
A00036,ZH,apartment,118.0,4.5,2014,10.8,A,1038000.0,228500.0,25,self_employed,7,782000.0,fixed,5,1.51,indirect,2026,0.753,0.243,0.0517
A00037,AG,apartment,100.0,3.5,2006,0.6,B,851000.0,125200.0,42,employed,10,543000.0,fixed,5,1.49,direct,2026,0.638,0.285,0.0646
A00038,SO,house,131.0,5.0,1990,0.3,A,923000.0,175400.0,42,self_employed,4,616000.0,saron,0,1.01,indirect,2026,0.667,0.228,0.0355
A00039,LU,house,125.0,4.5,2003,3.3,B,1206000.0,144500.0,46,self_employed,0,795000.0,saron,0,1.02,direct,2026,0.659,0.359,0.0561
A00040,TG,apartment,83.0,2.5,1915,9.4,E,443000.0,94900.0,53,employed,9,280000.0,saron,0,0.83,direct,2026,0.632,0.194,0.0245
A00041,AG,house,155.0,5.5,2020,5.1,A,1242000.0,127000.0,40,employed,5,641000.0,fixed,10,1.79,direct,2026,0.516,0.35,0.0903
A00042,ZH,house,151.0,5.5,1951,2.2,D,1563000.0,242300.0,46,employed,4,1236000.0,fixed,5,1.54,direct,2026,0.791,0.373,0.0786
A00043,SO,apartment,108.0,3.5,1990,2.3,D,591000.0,185700.0,43,employed,4,394000.0,fixed,5,1.53,indirect,2026,0.667,0.138,0.0325
A00044,LU,house,214.0,8.0,1904,8.6,E,1610000.0,173300.0,53,employed,3,1200000.0,fixed,10,1.71,direct,2026,0.745,0.488,0.1184
A00045,LU,house,175.0,7.0,2019,8.1,C,1306000.0,168500.0,40,employed,2,1041000.0,saron,0,1.07,indirect,2026,0.797,0.454,0.0661
A00046,ZH,house,195.0,8.0,1990,5.8,D,2174000.0,404400.0,41,self_employed,30,1453000.0,fixed,10,1.79,direct,2026,0.668,0.234,0.0643
A00047,BE,apartment,92.0,3.5,1933,0.3,G,707000.0,111500.0,62,employed,11,614000.0,fixed,10,1.72,direct,2026,0.868,0.424,0.0947
A00048,BE,apartment,94.0,3.5,2005,1.1,B,577000.0,125900.0,35,employed,6,430000.0,saron,0,1.12,indirect,2026,0.745,0.241,0.0383
A00049,TG,apartment,62.0,1.5,1945,4.0,D,316000.0,116300.0,25,self_employed,6,180000.0,fixed,5,1.46,direct,2026,0.57,0.105,0.0226
A00050,ZH,house,153.0,6.5,2011,15.3,C,1260000.0,154900.0,46,employed,3,1077000.0,fixed,10,1.99,direct,2026,0.855,0.531,0.1384
A00051,ZH,house,139.0,4.5,1964,40.0,C,584000.0,91200.0,72,retired,7,423000.0,fixed,10,1.63,direct,2026,0.724,0.321,0.0756
A00052,ZH,house,155.0,5.5,2009,3.4,A,1741000.0,174600.0,47,self_employed,3,1013000.0,fixed,5,1.55,direct,2026,0.582,0.39,0.0899
A00053,LU,house,184.0,5.0,2011,0.7,D,1479000.0,203100.0,40,self_employed,4,1123000.0,fixed,10,1.75,direct,2026,0.759,0.394,0.0968
A00054,LU,house,103.0,3.0,2020,4.2,B,861000.0,121600.0,25,employed,3,557000.0,saron,0,1.06,direct,2026,0.647,0.3,0.0486
