id,canton,property_type,living_area_m2,rooms,year_built,distance_center_km,energy_label,purchase_price,household_income,age,employment,years_client,loan_amount,rate_type,fixed_years,interest_rate,amortisation,origination_year,ltv,affordability,actual_burden,trouble_36m,reminders_sent
M00001,ZH,apartment,75.0,2.0,2013,7.1,C,632000.0,142100.0,33,employed,14,389000.0,fixed,10,1.31,indirect,2019,0.616,0.181,0.0359,0,0
M00002,AG,apartment,94.0,3.5,1970,11.0,B,507000.0,105700.0,51,employed,3,361000.0,saron,0,1.03,direct,2020,0.712,0.233,0.0352,0,0
M00003,BE,apartment,90.0,3.5,1989,14.0,C,537000.0,217700.0,31,employed,1,358000.0,saron,0,1.03,direct,2020,0.667,0.107,0.0169,0,0
M00004,BE,apartment,65.0,2.5,1982,8.0,C,348000.0,87900.0,36,employed,1,238000.0,saron,0,1.7,indirect,2022,0.684,0.18,0.046,0,0
M00005,BE,house,236.0,7.5,2019,8.9,A,1458000.0,123200.0,40,self_employed,22,1116000.0,saron,0,1.02,direct,2020,0.765,0.649,0.0924,0,1
M00006,SO,apartment,108.0,3.5,1965,10.4,A,441000.0,107100.0,52,employed,9,380000.0,fixed,10,1.2,direct,2019,0.862,0.272,0.0426,0,1
M00007,SG,apartment,81.0,3.0,1970,13.9,C,382000.0,186100.0,47,employed,14,223000.0,fixed,10,1.45,direct,2019,0.584,0.08,0.0174,0,0
M00008,ZH,house,246.0,7.5,2003,18.1,A,2143000.0,384000.0,35,employed,1,1497000.0,fixed,10,1.4,direct,2019,0.699,0.263,0.0546,0,0
M00009,LU,apartment,159.0,6.0,1990,4.8,A,1251000.0,290900.0,54,employed,20,693000.0,fixed,5,2.51,direct,2022,0.554,0.162,0.0598,0,0
M00010,ZH,apartment,100.0,3.0,1948,6.2,D,899000.0,107000.0,50,employed,7,511000.0,fixed,5,2.2,indirect,2022,0.568,0.323,0.1051,0,0
M00011,TG,apartment,73.0,2.0,1931,1.9,F,413000.0,88800.0,65,employed,5,249000.0,fixed,10,1.54,direct,2019,0.603,0.187,0.0432,0,0
M00012,SG,apartment,79.0,4.0,1907,2.6,F,635000.0,165900.0,36,employed,4,421000.0,fixed,10,1.3,direct,2020,0.663,0.165,0.033,0,1
M00013,AG,apartment,89.0,3.5,1978,3.9,D,558000.0,148500.0,40,employed,5,462000.0,fixed,10,2.7,indirect,2022,0.828,0.234,0.084,0,0
M00014,SO,apartment,137.0,5.5,1931,6.4,E,699000.0,125000.0,53,employed,8,417000.0,fixed,10,2.42,indirect,2022,0.597,0.223,0.0807,0,0
M00015,AG,apartment,167.0,6.5,1969,13.5,C,865000.0,272200.0,25,employed,2,526000.0,fixed,10,1.25,indirect,2019,0.608,0.128,0.0242,0,0
M00016,SG,apartment,137.0,6.0,1995,1.3,C,1030000.0,184000.0,32,self_employed,5,780000.0,fixed,5,2.39,direct,2022,0.757,0.302,0.1013,0,1
M00017,BE,apartment,143.0,5.5,1995,0.7,C,977000.0,168900.0,33,employed,4,653000.0,fixed,5,2.3,direct,2022,0.668,0.252,0.0889,0,0
M00018,BE,apartment,156.0,5.0,2001,3.9,C,839000.0,141800.0,41,employed,1,456000.0,fixed,10,1.41,direct,2020,0.544,0.22,0.0453,0,0
M00019,ZH,apartment,103.0,4.0,1993,14.6,B,846000.0,112200.0,31,employed,7,607000.0,saron,0,1.02,direct,2019,0.717,0.371,0.0552,0,0
M00020,ZH,house,111.0,4.0,2018,3.8,B,1277000.0,222500.0,36,employed,6,1007000.0,saron,0,1.01,indirect,2021,0.789,0.33,0.0457,0,0
M00021,AG,house,148.0,4.5,1902,2.0,F,1071000.0,103800.0,33,employed,1,716000.0,fixed,10,1.39,direct,2019,0.669,0.449,0.0959,0,0
M00022,BE,house,131.0,4.0,1988,0.4,B,1013000.0,196100.0,60,employed,0,720000.0,fixed,5,1.07,direct,2020,0.711,0.25,0.0393,0,1
M00023,LU,apartment,89.0,2.5,1936,2.4,B,699000.0,120900.0,40,employed,6,432000.0,fixed,5,0.99,direct,2020,0.618,0.236,0.0354,0,0
M00024,ZH,house,141.0,5.5,1961,4.8,B,1441000.0,176100.0,25,employed,8,979000.0,fixed,10,1.42,indirect,2019,0.679,0.367,0.0789,0,0
M00025,BE,apartment,59.0,2.0,1921,9.7,G,311000.0,114100.0,62,employed,14,202000.0,fixed,5,1.07,direct,2020,0.65,0.116,0.0189,0,0
